"department _number","department_title","employment_type","ethnicity","gender","job_num","job_status","job_title","mou","mou_title","pay_year","record_num","benefit_pay","retirement_contributions","other_pay","overtime_pay","regular_pay","total_pay"
70,"POLICE","FULL_TIME","FILIPINO","MALE",2207-01,"NOT_ACTIVE","POLICE SERVICE REPRESENTATIVE I",3,"CLERICAL",2017,3.23439343433E+11,7134.68,17479.17,120,3691.34,58931.8,62743.14
98,"WATER AND POWER","FULL_TIME","BLACK","FEMALE",1910-04,"ACTIVE","UTILITY SERVICES SPECIALIST",2,"TECHNICAL REPRESENTATION UNIT",2013,3.93534383731E+11,17111.02,8056,5318.7,1956.98,122054.4,129330.08
38,"FIRE","FULL_TIME","CAUCASIAN","MALE",2142-01,"NOT_ACTIVE","FIRE CAPTAIN I",23,"FIREFIGHTERS AND FIRE CAPTAINS",2014,3.730343434E+09,14641.2,57258.95,6982.04,108125.8,122217.6,237325.44
14,"CITY CLERK","PART_TIME","FILIPINO","MALE",*,"NOT_ACTIVE","ELECTION ASSISTANT I",0,"NON-REPRESENTED",2013,3.332383835E+09,0,0,0,0,113.62,113.62
70,"POLICE","FULL_TIME","ASIAN","MALE",2227-02,"NOT_ACTIVE","POLICE SERGEANT II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2014,3.533333131E+09,14922.08,55488.22,4755.31,6421.98,118438.04,129615.33
4,"AIRPORTS","FULL_TIME","CAUCASIAN","MALE",*,"ACTIVE","DEPUTY GENERAL MANAGER AIRPORTS/2",36,"MANAGEMENT EMPLOYEES",2018,3.034353231E+09,4372.26,15036.91,1500,0,50697.6,52197.6
98,"WATER AND POWER","FULL_TIME","BLACK","FEMALE",1230-05,"ACTIVE","COML SRVC REPTV",7,"CLERICAL UNIT",2020,3.93135393732E+11,8664,5214,2211.19,31346.17,78994.48,112551.84
94,"TRANSPORTATION","PART_TIME","BLACK","FEMALE",3180-09,"NOT_ACTIVE","CROSSING GUARD",34,"CROSSING GUARDS",2015,3.634393231E+09,5794.74,0,2717.47,0,6884.15,9601.62
82,"PUBLIC WORKS - SANITATION","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","WASTEWATER COLLECTION WORKER II",4,"EQUIPMENT OPERATION AND LABOR",2019,3.235323437E+09,19731.84,22880.5,946.95,4694.04,77142.61,82783.6
82,"PUBLIC WORKS - SANITATION","PART_TIME","BLACK","MALE",3580-02,"NOT_ACTIVE","REFUSE COLLECTION TRUCK OPERATOR II",4,"EQUIPMENT OPERATION AND LABOR",2014,3.13731353533E+11,0,0,1221.19,5075.93,26158.47,32455.59
98,"WATER AND POWER","FULL_TIME","HISPANIC","FEMALE",1903-09,"ACTIVE","SENIOR CLERK TYPIST",7,"CLERICAL UNIT",2014,3.63435303632E+11,18124.69,4557,8127.94,15031.31,69038.08,92197.33
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",2227-02,"NOT_ACTIVE","POLICE SERGEANT II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2018,3.234333133E+09,6891,25451.59,7966.28,77.73,54325.7,62369.71
6,"ANIMAL SERVICES","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","ANIMAL CARE TECHNICIAN",4,"EQUIPMENT OPERATION AND LABOR",2017,3.73533363533E+11,18572.58,14823.64,423.57,0,49978.56,50402.13
44,"LIBRARY","FULL_TIME","FILIPINO","MALE",1596-02,"NOT_ACTIVE","SYSTEMS ANALYST II",1,"ADMINISTRATIVE",2014,3.636323533E+09,5525.92,7921.36,1836.12,0,26707.2,28543.32
78,"PUBLIC WORKS - ENGINEERING","FULL_TIME","HISPANIC","FEMALE",*,"NOT_ACTIVE","CIVIL ENGINEERING ASSOCIATE I",8,"PROFESSIONAL ENGINEERING AND SCIENTIFIC",2017,3.13433323633E+11,10308.3,16233.75,150,0,54732.8,54882.8
98,"WATER AND POWER","FULL_TIME","HISPANIC","MALE",3912-05,"ACTIVE","WTR UTLTY WKR",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2018,3.533393939E+09,23657.01,5743,17969.92,9703.48,87021.6,114695
70,"POLICE","FULL_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","ASSOCIATE COMMUNITY OFFICER",0,"NON-REPRESENTED",2019,3.63634333933E+11,1153.36,4053.28,0,3.95,31270.3,31274.25
38,"FIRE","FULL_TIME","CAUCASIAN","MALE",2112-01,"NOT_ACTIVE","FIREFIGHTER I",23,"FIREFIGHTERS AND FIRE CAPTAINS",2017,3.03931303933E+11,4330,5820.74,408,2245.48,19624.88,22278.36
40,"GENERAL SERVICES","PART_TIME","BLACK","MALE",*,"ACTIVE","AIR CONDITIONING MECHANIC - HIRING HALL",35,"CRAFT WORKERS/ HIRING HALL",2019,3.53931363933E+11,0,0,5152.46,1060.76,79715.25,85928.47
88,"RECREATION AND PARKS","PART_TIME","OTHER","FEMALE",*,"NOT_ACTIVE","GANG REDUCTION YOUTH DEVELOPMENT WORKER IV",0,"NON-REPRESENTED",2018,3.63334373933E+11,0,0,0,0,6001,6001
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","MALE",2418-01,"ACTIVE","ASSISTANT PARK SERVICES ATTENDANT I",3,"CLERICAL",2022,3.03335373733E+11,2066.64,0,831.14,0,1669,2500.14
44,"LIBRARY","FULL_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2019,3.73331313833E+11,7016.24,10361.07,530,0,34932.8,35462.8
82,"PUBLIC WORKS - SANITATION","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","MECHANICAL HELPER",14,"SERVICE AND CRAFT",2019,3.33935303733E+11,6997.9,7714.45,385,308.33,26009.6,26702.93
48,"LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT","PART_TIME","HISPANIC","MALE",3530-01,"NOT_ACTIVE","PARKING ATTENDANT I",15,"SERVICE EMPLOYEES",2018,3.73137313533E+11,0,0,0,0,0,0
4,"AIRPORTS","FULL_TIME","BLACK","MALE",*,"NOT_ACTIVE","CUSTODIAN - AIRPORTS",15,"SERVICE EMPLOYEES",2018,3.937353132E+09,16794.96,14195.26,1289.66,6348.58,47859.96,55498.2
98,"WATER AND POWER","FULL_TIME","CAUCASIAN","MALE",1908-07,"ACTIVE","MAINTENANCE CONSTRUCTION HELPER",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2015,3.63539323733E+11,18755.63,1633,278.17,2814.4,24748.47,27841.04
82,"PUBLIC WORKS - SANITATION","FULL_TIME","HISPANIC","MALE",3580-02,"ACTIVE","REFUSE COLLECTION TRUCK OPERATOR II",4,"EQUIPMENT OPERATION AND LABOR",2022,3.53535383234E+11,6766.96,8242.63,2029.67,9559.29,27790.4,39379.36
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","FEMALE",2418-01,"NOT_ACTIVE","ASSISTANT PARK SERVICES ATTENDANT I",3,"CLERICAL",2017,3.13131393333E+11,7317.3,0,291.99,0,9573.48,9865.47
38,"FIRE","FULL_TIME","CAUCASIAN","MALE",3563-05,"ACTIVE","FIRE HELICOPTER PILOT V",23,"FIREFIGHTERS AND FIRE CAPTAINS",2013,3.639333633E+09,8303.04,61738.71,8225.63,95268.94,131779.52,235274.09
94,"TRANSPORTATION","FULL_TIME","BLACK","MALE",3214-02,"ACTIVE","TRAFFIC OFFICER II",18,"SAFETY / SECURITY",2019,3.637373233E+09,7987.92,19951.08,1628,1548.28,67265.95,70442.23
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",2214-03,"NOT_ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2015,3.333343433E+09,15317.75,47028.4,1525,557.41,100380.8,102463.21
38,"FIRE","FULL_TIME","HISPANIC","MALE",2112-01,"NOT_ACTIVE","FIREFIGHTER I",23,"FIREFIGHTERS AND FIRE CAPTAINS",2019,3.33739313034E+11,5156.32,8335.88,561,3425.07,28104.78,32090.85
98,"WATER AND POWER","FULL_TIME","HISPANIC","FEMALE",1904-05,"ACTIVE","SENIOR COMMERCIAL FIELD REPRESENTATIVE",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2014,3.23033373532E+11,18124.69,5504,3335.03,1646.14,83393.11,88374.28
70,"POLICE","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2017,3.230343836E+09,18572.58,15647.43,0,0,52756.01,52756.01
44,"LIBRARY","PART_TIME","HISPANIC","FEMALE",*,"ACTIVE","LIBRARIAN I",6,"LIBRARIANS",2018,3.93436303034E+11,0,0,0,0,209.02,209.02
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","GANG REDUCTION YOUTH DEVELOPMENT WORKER IV",0,"NON-REPRESENTED",2015,3.83739313733E+11,0,0,0,0,6426,6426
82,"PUBLIC WORKS - SANITATION","FULL_TIME","CAUCASIAN","MALE",*,"NOT_ACTIVE","WASTEWATER COLLECTION WORKER I",4,"EQUIPMENT OPERATION AND LABOR",2017,3.43835303933E+11,2966.32,3468.4,815.94,505.44,11693.87,13015.25
82,"PUBLIC WORKS - SANITATION","FULL_TIME","CAUCASIAN","FEMALE",*,"NOT_ACTIVE","SENIOR ADMINISTRATIVE CLERK",3,"CLERICAL",2019,3.938343334E+09,0,0,138.29,0,0,138.29
94,"TRANSPORTATION","FULL_TIME","BLACK","MALE",*,"ACTIVE","ELECTRICAL CRAFT HELPER",2,"BUILDING TRADES",2021,3.13638313733E+11,7928.4,20828.74,1494.22,2806.96,70225.02,74526.2
8,"BUILDING AND SAFETY","PART_TIME","ASIAN","MALE",*,"NOT_ACTIVE","STUDENT PROFESSIONAL WORKER",0,"NON-REPRESENTED",2017,3.43733303833E+11,0,0,0,0,17412.29,17412.29
39,"OFFICE OF FINANCE","FULL_TIME","CAUCASIAN","MALE",1179-03,"NOT_ACTIVE","TAX COMPLIANCE OFFICER III",1,"ADMINISTRATIVE",2015,3.035353633E+09,14700.72,30280.65,2897.85,2385.3,102092.54,107375.69
86,"PUBLIC WORKS - STREET SERVICES","FULL_TIME","BLACK","MALE",*,"ACTIVE","HEAVY DUTY TRUCK OPERATOR",4,"EQUIPMENT OPERATION AND LABOR",2016,3.738363432E+09,14528.4,21054.22,1796.47,26210.13,70985.23,98991.83
98,"WATER AND POWER","FULL_TIME",,,1902-07,"NOT_ACTIVE","CONSTRUCTION CEMENT FINISHER",*,,2013,*,17111.02,865,6370.1,9859.93,13107.46,29337.49
70,"POLICE","FULL_TIME","HISPANIC","MALE",2223-01,"ACTIVE","POLICE DETECTIVE I",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2019,3.139313839E+09,18511,56673.44,1657,26923.52,120967.85,149548.37
98,"WATER AND POWER","FULL_TIME","HISPANIC","MALE",3435-05,"NOT_ACTIVE","ASBESTOS WORKER",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2018,3.43936343333E+11,22715.77,6610,21668.64,54957.37,100144.31,176770.32
40,"GENERAL SERVICES","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2022,3.03933393034E+11,8167.56,5579.37,974.07,0,18811.08,19785.15
70,"POLICE","FULL_TIME","CAUCASIAN","FEMALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2022,3.33239323233E+11,10184.16,25123.59,3480,2991.31,53625.6,60096.91
39,"OFFICE OF FINANCE","FULL_TIME","CAUCASIAN","MALE",1758-02,"NOT_ACTIVE","FINANCE COLLECTION INVESTIGATOR II",1,"ADMINISTRATIVE",2015,3.936353033E+09,15793.2,24424.67,168,0,82348.84,82516.84
4,"AIRPORTS","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","CUSTODIAN - AIRPORTS",15,"SERVICE EMPLOYEES",2013,3.731323038E+09,15869.76,12953.47,1363.53,8823.03,43673.18,53859.74
4,"AIRPORTS","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","WINDOW CLEANER - AIRPORTS",15,"SERVICE EMPLOYEES",2021,3.239363737E+09,20445.84,19728.6,3157.41,290.65,66515.83,69963.89
94,"TRANSPORTATION","FULL_TIME","ASIAN","FEMALE",*,"ACTIVE","ACCOUNTANT",1,"ADMINISTRATIVE",2019,3.23333353833E+11,6998.46,13451.4,800,0,45352,46152
88,"RECREATION AND PARKS","PART_TIME","CAUCASIAN","FEMALE",*,"NOT_ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2014,3.23131353133E+11,0,0,10.4,0,0,10.4
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-03,"ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2014,3.633323832E+09,14580.98,48308.6,6976.38,373.37,103113.34,110463.09
40,"GENERAL SERVICES","FULL_TIME","HISPANIC","MALE",1832-01,"ACTIVE","WAREHOUSE AND TOOLROOM WORKER I",14,"SERVICE AND CRAFT",2014,3.130303032E+09,17423.04,16262.6,4392.56,634.18,54830.08,59856.82
22,"ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","FULL_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","GENERAL MANAGER ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT",0,"NON-REPRESENTED",2016,3.537313331E+09,16503.36,64225.53,1736.98,0,216539.2,218276.18
94,"TRANSPORTATION","FULL_TIME","HISPANIC","MALE",3214-02,"ACTIVE","TRAFFIC OFFICER II",18,"SAFETY / SECURITY",2021,3.53331363433E+11,20112,19696.86,6575.42,22848.63,66408.84,95832.89
98,"WATER AND POWER","FULL_TIME","CAUCASIAN","MALE",*,"ACTIVE","ELTL TSTR TCHN",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2018,3.13336343733E+11,8136.22,0,11038.84,0,52651.84,63690.68
70,"POLICE","FULL_TIME","HISPANIC","FEMALE",2207-02,"ACTIVE","POLICE SERVICE REPRESENTATIVE II",3,"CLERICAL",2022,3.13237363633E+11,8167.56,13525.95,4116.8,0,45603.34,49720.14
38,"FIRE","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","GARAGE ASSISTANT",14,"SERVICE AND CRAFT",2019,3.73833303733E+11,7654.08,15296.97,200,11449.17,51574.4,63223.57
38,"FIRE","FULL_TIME","CAUCASIAN","MALE",2112-03,"ACTIVE","FIREFIGHTER III",23,"FIREFIGHTERS AND FIRE CAPTAINS",2016,3.93733383932E+11,8484.54,12907.38,3521.3,11049.56,62368.15,76939.01
40,"GENERAL SERVICES","PART_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","EVENT ATTENDANT II",15,"SERVICE EMPLOYEES",2016,3.33238363333E+11,0,0,920,0,16100.31,17020.31
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2016,3.63630323733E+11,0,0,203.47,0,553.54,757.01
42,"HARBOR","PART_TIME","CAUCASIAN","MALE",*,"NOT_ACTIVE","STUDENT PROFESSIONAL WORKER",0,"NON-REPRESENTED",2016,3.33736303633E+11,0,0,150.73,0,10047.32,10198.05
88,"RECREATION AND PARKS","PART_TIME","CAUCASIAN","FEMALE",*,"NOT_ACTIVE","DAY CAMP DIRECTOR II",7,"RECREATION ASSISTANTS",2014,3.131323936E+09,1396.5,0,5.5,0,5761.48,5766.98
4,"AIRPORTS","FULL_TIME","HISPANIC","FEMALE",*,"ACTIVE","CUSTODIAN - AIRPORTS",15,"SERVICE EMPLOYEES",2020,3.933323038E+09,16676.42,15824.77,4490.82,8860.32,53353.91,66705.05
44,"LIBRARY","PART_TIME","HISPANIC","FEMALE",*,"ACTIVE","MESSENGER CLERK",3,"CLERICAL",2021,3.53739373833E+11,7928.4,0,16.95,0,20878.28,20895.23
94,"TRANSPORTATION","FULL_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","SIGNAL SYSTEMS ELECTRICIAN",2,"BUILDING TRADES",2013,3.533323333E+09,11859.36,25295.5,8166.31,1647.21,85284.9,95098.42
70,"POLICE","FULL_TIME","CAUCASIAN","MALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2020,3.636373236E+09,18571.24,73816.86,6844.6,3452.72,157560,167857.32
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-03,"ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2016,3.53838393832E+11,16013.4,49966.95,1525,14539.8,106653.04,122717.84
70,"POLICE","FULL_TIME","HISPANIC","MALE",2227-02,"ACTIVE","POLICE SERGEANT II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2018,3.637323239E+09,17886,59255.13,1661,16737.15,126478.4,144876.55
70,"POLICE","FULL_TIME","CAUCASIAN","FEMALE",*,"NOT_ACTIVE","POLICE OFFICER I",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2019,3.83730303034E+11,12150.46,25643.77,353.6,647.19,60972,61972.79
22,"ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","FULL_TIME","BLACK","MALE",2501-03,"ACTIVE","COMMUNITY PROGRAM ASSISTANT III",1,"ADMINISTRATIVE",2022,3.731353533E+09,10521,13849.56,0,0,46694.4,46694.4
98,"WATER AND POWER","FULL_TIME","CAUCASIAN","MALE",1914-05,"ACTIVE","ELECTRICAL SERVICE MANAGER",*,"MANAGEMENT EMPLOYEES UNIT",2014,3.83539303732E+11,18124.69,11754,45808.54,45672.5,178096,269577.04
44,"LIBRARY","PART_TIME","HISPANIC","MALE",*,"ACTIVE","MESSENGER CLERK",3,"CLERICAL",2021,3.839393138E+09,7928.4,0,0,0,22317.88,22317.88
70,"POLICE","PER_EVENT","CAUCASIAN","FEMALE",2214-02,"NOT_ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2019,3.93037383932E+11,0,0,508.33,0,0,508.33
12,"CITY ATTORNEY","FULL_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","DEPUTY CITY ATTORNEY III",29,"DEPUTY CITY ATTORNEYS",2013,3.23438373033E+11,345.04,1362.15,0,0,4592.56,4592.56
42,"HARBOR","FULL_TIME","CAUCASIAN","MALE",*,"NOT_ACTIVE","CHIEF HARBOR ENGINEER",36,"MANAGEMENT EMPLOYEES",2015,3.735383832E+09,4069.14,13384.98,8174.85,0,45128.04,53302.89
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","MALE",*,"ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2017,3.435373734E+09,9009.01,0,0,0,17117.76,17117.76
65,"DISABILITY","FULL_TIME","BLACK","MALE",*,"NOT_ACTIVE","SENIOR MANAGEMENT ANALYST I",20,"SUPERVISORY ADMINISTRATIVE",2014,3.337373431E+09,13788.72,30792.77,764,0,103819.2,104583.2
98,"WATER AND POWER","FULL_TIME","BLACK","MALE",3799-03,"ACTIVE","ELTL CRFT HLPR",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2016,3.03333393633E+11,20286.62,0,1895.6,8624.4,59620,70140
38,"FIRE","FULL_TIME","HISPANIC","MALE",2112-03,"ACTIVE","FIREFIGHTER III",23,"FIREFIGHTERS AND FIRE CAPTAINS",2019,3.33534343733E+11,16456.96,47975.15,1821.66,84945.98,102401.6,189169.24
38,"FIRE","FULL_TIME","BLACK","MALE",2128-02,"ACTIVE","FIRE INSPECTOR II",23,"FIREFIGHTERS AND FIRE CAPTAINS",2018,3.835313334E+09,14035.56,65402.69,8329.08,90138.67,139600.2,238067.95
38,"FIRE","FULL_TIME","ASIAN","MALE",*,"NOT_ACTIVE","APPARATUS OPERATOR",23,"FIREFIGHTERS AND FIRE CAPTAINS",2014,3.138353335E+09,14929.68,50271.55,6919.6,36423.17,107303.2,150645.97
38,"FIRE","FULL_TIME","ASIAN","MALE",*,"ACTIVE","SYSTEMS ANALYST",1,"ADMINISTRATIVE",2019,3.03530383832E+11,17823.36,22030.26,1100,0,74276,75376
46,"MAYOR","FULL_TIME","CAUCASIAN","FEMALE",*,"NOT_ACTIVE","MAYORAL AIDE VIII",0,"NON-REPRESENTED",2019,3.53330333933E+11,6549.3,21134.08,1025.63,0,71254.48,72280.11
74,"PUBLIC WORKS - BOARD OF PUBLIC WORKS","FULL_TIME","ASIAN","MALE",1513-02,"NOT_ACTIVE","ACCOUNTANT II",1,"ADMINISTRATIVE",2014,3.03930313031E+11,8034.24,20433.13,0,0,68891.2,68891.2
88,"RECREATION AND PARKS","PART_TIME","OTHER","MALE",*,"NOT_ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2017,3.33033363833E+11,0,0,0,0,3889.07,3889.07
4,"AIRPORTS","FULL_TIME","BLACK","FEMALE",*,"ACTIVE","SENIOR SECURITY OFFICER",12,"SUPERVISORY BLUE COLLAR",2022,3.431383232E+09,7486.93,9502.26,3374.52,637.35,32037.28,36049.15
28,"COUNCIL","FULL_TIME","CAUCASIAN","MALE",*,"NOT_ACTIVE","COUNCIL AIDE V",0,"NON-REPRESENTED",2018,3.43335353533E+11,11226.96,22431.03,0,0,75627.2,75627.2
43,"HOUSING AND COMMUNITY INVESTMENT DEPARTMENT","FULL_TIME","HISPANIC","MALE",1832-01,"ACTIVE","WAREHOUSE AND TOOLROOM WORKER I",14,"SERVICE AND CRAFT",2015,3.330303936E+09,7046.64,15475.58,644.44,953.28,52176.6,53774.32
70,"POLICE","FULL_TIME","HISPANIC","MALE",*,"NOT_ACTIVE","POLICE OFFICER I",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2021,3.33035303134E+11,7178.9,20271.06,240,892.05,43268,44400.05
70,"POLICE","FULL_TIME","BLACK","FEMALE",2214-03,"ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2014,3.530333132E+09,14580.98,47842.57,-4368.45,0,102118.62,97750.17
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-02,"ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2021,3.93130373633E+11,15935.12,51365.6,6465,988.69,109638.41,117092.1
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","MALE",*,"ACTIVE","POOL LIFEGUARD",18,"SAFETY / SECURITY",2019,3.33439353933E+11,0,0,0,0,8229.97,8229.97
70,"POLICE","FULL_TIME","ASIAN","MALE",2214-03,"NOT_ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2017,3.738353537E+09,16819,50565.33,1411.4,2864.09,107930.27,112205.76
94,"TRANSPORTATION","FULL_TIME","FILIPINO","FEMALE",*,"ACTIVE","SENIOR ADMINISTRATIVE CLERK",3,"CLERICAL",2018,3.137353931E+09,19731.84,17996.88,61.36,0,60677.28,60738.64
76,"PUBLIC WORKS - CONTRACT ADMINISTRATION","FULL_TIME","CAUCASIAN","MALE",*,"ACTIVE","CONSTRUCTION INSPECTOR",5,"INSPECTORS",2019,3.43134393933E+11,17489.52,25001.72,8549.52,4455.86,84294.4,97299.78
70,"POLICE","FULL_TIME","HISPANIC","MALE",2200-03,"NOT_ACTIVE","FORENSIC PRINT SPECIALIST III",21,"TECHNICAL",2015,3.632343535E+09,5158.56,7813.49,-377.69,2.39,26343.52,25968.22
44,"LIBRARY","FULL_TIME","HISPANIC","MALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2022,3.33733343031E+11,4078.2,8574.86,1499.7,0,28910.52,30410.22
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-02,"NOT_ACTIVE","POLICE OFFICER II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2021,3.537313837E+09,0,0,33077.29,44607.73,0,77685.02
70,"POLICE","FULL_TIME","HISPANIC","MALE",2214-03,"NOT_ACTIVE","POLICE OFFICER III",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2017,3.43238313333E+11,7206.25,47127.73,2357,33112.68,100592.8,136062.48
66,"PERSONNEL","FULL_TIME","BLACK","FEMALE",*,"NOT_ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2018,3.136383631E+09,8941.52,8359.76,723,0,28185.3,28908.3
70,"POLICE","FULL_TIME","CAUCASIAN","FEMALE",2234-03,"ACTIVE","CRIMINALIST III",8,"PROFESSIONAL ENGINEERING AND SCIENTIFIC",2018,3.430373833E+09,12402.48,38878.17,5253.68,29305.62,131079.46,165638.76
82,"PUBLIC WORKS - SANITATION","FULL_TIME","HISPANIC","MALE",3580-02,"ACTIVE","REFUSE COLLECTION TRUCK OPERATOR II",4,"EQUIPMENT OPERATION AND LABOR",2019,3.63734363433E+11,19398,22779.12,1110,4375.77,76800.8,82286.57
98,"WATER AND POWER","FULL_TIME","HISPANIC","MALE",3181-05,"ACTIVE","SECTY OFCR",0,"SECURITY UNIT",2017,3.83533313832E+11,15872.36,4021,10627.59,21713.79,60925.2,93266.58
98,"WATER AND POWER","FULL_TIME","ASIAN","MALE",1910-05,"ACTIVE","ELECTRICAL CRAFT HELPER",8,"OPERATING MAINTENANCE AND SERVICE UNIT",2015,3.83430373532E+11,18755.63,4843,2649.97,23800.25,73372.8,99823.02
